,videoID,published_at,title,publishTime
0,Gn6ptv0zWZ4,2024-01-15T15:22:57Z,How could AI affect jobs globally and worsen inequality? | BBC News,2024-01-15T15:22:57Z
1,_4n2mZg9pF4,2023-08-16T09:32:33Z,Artificial Intelligence: How will it impact the future of education?,2023-08-16T09:32:33Z
2,kcEbA1JXyQM,2023-02-21T23:58:27Z,How Will Artificial Intelligence Impact Society?,2023-02-21T23:58:27Z
3,qiLyDmvjdNM,2023-05-18T12:00:38Z,What are the impacts of artificial intelligence on the workplace?,2023-05-18T12:00:38Z
4,7devgjUP2pY,2020-12-16T17:00:07Z,Is AI The Future Of Education?,2020-12-16T17:00:07Z
5,NkaAD5ELR48,2021-07-05T07:49:28Z,The Impact of Artificial Intelligence in the Workplace,2021-07-05T07:49:28Z
6,ng4c1g3COfs,2019-12-02T19:34:49Z,AI: Impact on Society,2019-12-02T19:34:49Z
7,_ADJIiEv1Ts,2022-10-13T14:36:28Z,AI questions: What is the impact of AI on wage inequality?,2022-10-13T14:36:28Z
8,X07czVPBuqw,2024-04-17T09:30:08Z,"Doc Talk Podcast  Kirsten Johnson On Looming Impact Of AI, Kate Middleton Photo Controversy",2024-04-17T09:30:08Z
9,TNi9KV61ir0,2019-04-03T09:00:03Z,AI in HR - What is the Impact of Artificial Intelligence or AI on HR?,2019-04-03T09:00:03Z
10,dhg1NPqB_60,2023-05-04T11:58:23Z,Artificial intelligence and its impact on employment | AI | WION World DNA,2023-05-04T11:58:23Z
11,KqUrfJWGrxA,2023-03-27T11:15:12Z,The Rise Of AI: Impact on Economic Growth | Reema Tendulkar Explains | Digital | CNBC-TV18,2023-03-27T11:15:12Z
12,U9ANtZoK3H0,2023-12-30T04:00:10Z,AI in review: Impact on 2023 and how it could shape the future,2023-12-30T04:00:10Z
13,q78KYBps-zY,2022-09-19T17:46:23Z,Peter Henderson: Environmental Impact of AI (and What Developers Can Do),2022-09-19T17:46:23Z
14,jenEIBcxImE,2022-08-02T20:17:23Z,10 Disadvantages of Artificial Intelligence,2022-08-02T20:17:23Z
15,FpsYLhjAAEc,2023-02-03T04:32:37Z,Impact of AI in the workplace,2023-02-03T04:32:37Z
16,T37KsZ2fInE,2021-01-09T00:04:55Z,How is AI Going to Impact Leadership?,2021-01-09T00:04:55Z
17,JJPWIiu-BUw,2023-05-16T23:34:18Z,Tesla CEO Elon Musk discusses the implications of A.I. on his children&#39;s future in the workforce,2023-05-16T23:34:18Z
18,E7oCB8MpW8w,2023-07-18T18:48:17Z,How A.I. could impact jobs of outsourced coders in India,2023-07-18T18:48:17Z
19,SISKgMuQ2NM,2019-05-31T14:35:21Z,The Impact of AI on Language Testing,2019-05-31T14:35:21Z
20,r5OLEM0rsjk,2023-05-17T00:30:11Z,OpenAI chief concerned about AI impact on elections,2023-05-17T00:30:11Z
21,PR_ykicOZYU,2023-05-03T19:11:03Z,The first casualties of AI,2023-05-03T19:11:03Z
22,xNT5tyfnjhw,2023-03-02T22:43:19Z,How Will the AI Revolution Impact Big Tech?,2023-03-02T22:43:19Z
23,IPmGFK065Mc,2022-10-18T16:38:07Z,AI and Robots can&#39;t control humans - Jack Ma,2022-10-18T16:38:07Z
24,XTei4Pv3tqE,2022-07-14T15:00:28Z,The Impact of AI on Mental Health (&amp; How it May Help You!),2022-07-14T15:00:28Z
25,Uriw6oziM_Q,2023-08-07T10:33:50Z,AI for Education | Using AI Critically in the Classroom,2023-08-07T10:33:50Z
26,4w6pX0frkMQ,2023-06-22T04:30:03Z,How will AI impact the 2024 election?,2023-06-22T04:30:03Z
27,aYgU8-SjVSU,2023-04-21T18:17:47Z,Reducing the environmental impact of AI,2023-04-21T18:17:47Z
28,DhB4O9tI00Q,2023-05-01T14:00:13Z,Will AI End Creative Professions?,2023-05-01T14:00:13Z
29,fUEwoiC5AO0,2023-06-01T19:38:34Z,Humanoid robot warns of AI dangers,2023-06-01T19:38:34Z
30,oKGrnStomQA,2023-04-14T21:00:19Z,"AI&#39;s Impact on Education: Pros, Cons, and Coping",2023-04-14T21:00:19Z
31,yOn7eXqjNkA,2023-04-04T23:37:09Z,Transformative impact of AI on Health | The Check Up â€˜23 | Google Health,2023-04-04T23:37:09Z
32,OX9jTxayIqc,2023-01-25T16:00:11Z,Revolutionizing AGRICULTURE: The Impact of AI,2023-01-25T16:00:11Z
33,bkZifbsFaZg,2023-12-01T20:14:47Z,ChatGPT&#39;s Impact on the AI Industry,2023-12-01T20:14:47Z
34,g8WFpW2zFdQ,2023-06-04T11:55:20Z,I made Hu Tao imitates Ai Hoshino,2023-06-04T11:55:20Z
35,6GYhGyZN1r4,2023-09-18T17:00:03Z,Asking Genshin Impact Characters AI More Cursed Questions | Genshin Impact Character AI,2023-09-18T17:00:03Z
36,PVVUPUJeezo,2023-06-07T11:00:16Z,How Will Generative AI Shape the Future of Marketing?,2023-06-07T11:00:16Z
37,lgDhbh_Qxys,2021-01-12T08:53:39Z,"Understanding Generative AI, Its Impacts and Limitations",2021-01-12T08:53:39Z
38,hyL2QnXTzpo,2023-05-21T13:35:02Z,Ashneer views on Ai &amp; jobs (shockingðŸ˜±),2023-05-21T13:35:02Z
39,ZiMLpXcWVMg,2023-05-27T18:30:26Z,Hutao becomes Ai Hoshino,2023-05-27T18:30:26Z
